
2025/02/15 (12:57:44) | ===> btop++ v.1.4.0
2025/02/15 (12:57:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (16:02:39) | ===> btop++ v.1.4.0
2025/02/15 (16:02:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (16:22:33) | ===> btop++ v.1.4.0
2025/02/15 (16:22:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (15:55:03) | ===> btop++ v.1.4.0
2025/02/16 (15:55:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (21:12:56) | ===> btop++ v.1.4.0
2025/02/17 (21:12:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (21:42:09) | ===> btop++ v.1.4.0
2025/02/17 (21:42:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (14:58:17) | ===> btop++ v.1.4.0
2025/02/19 (14:58:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (15:04:44) | ===> btop++ v.1.4.0
2025/02/19 (15:04:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (15:44:26) | ===> btop++ v.1.4.0
2025/02/19 (15:44:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/22 (21:01:49) | ===> btop++ v.1.4.0
2025/02/22 (21:01:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (17:38:37) | ===> btop++ v.1.4.0
2025/02/27 (17:38:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (17:57:06) | ===> btop++ v.1.4.0
2025/02/27 (17:57:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (10:59:56) | ===> btop++ v.1.4.0
2025/03/01 (10:59:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (21:44:09) | ===> btop++ v.1.4.0
2025/03/10 (21:44:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:09:03) | ===> btop++ v.1.4.0
2025/03/12 (21:09:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:23:18) | ===> btop++ v.1.4.0
2025/03/12 (21:23:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:43:11) | ===> btop++ v.1.4.0
2025/03/12 (21:43:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (21:54:50) | ===> btop++ v.1.4.0
2025/03/12 (21:54:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (22:02:20) | ===> btop++ v.1.4.0
2025/03/12 (22:02:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:05:23) | ===> btop++ v.1.4.0
2025/03/12 (23:05:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:12:03) | ===> btop++ v.1.4.0
2025/03/12 (23:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:20:11) | ===> btop++ v.1.4.0
2025/03/12 (23:20:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:21:20) | ===> btop++ v.1.4.0
2025/03/12 (23:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (23:25:33) | ===> btop++ v.1.4.0
2025/03/12 (23:25:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (18:23:54) | ===> btop++ v.1.4.0
2025/03/13 (18:23:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (18:31:18) | ===> btop++ v.1.4.0
2025/03/17 (18:31:18) | WARNING: Intel GPU: Failed to initialize PMU
